aaa;aaa;anda;12;100;0;;;0
7790129503294;;Estallos  30x10;11.62;383;N;1;60;0
7790129500675;;Baterias de 14 tiros x 40;21.76;47;N;1;20;0
7794000443129;;Savora Cond 3x3kgs;18.58;0;N;1;3;0
1116;;Talco Polyana 24x200g;2.07;0;N;1;24;0
1117;;Bizcochos Azucarados Nevares 15x180grs;1.35;1;N;1;15;0
1118;;Colgate x 70g;3.18;0;N;1;72;0
7791906920778;;Toallitas Humedas disney24bx50t.;9.32;16;N;1;24;0
7790129500347;;Florerito Estruendoso x 20u;5.9;665;N;1;75;0
7793024006136;;Masticable Osi-Osi Leche 12x500g .;6.14;474;N;1;12;0
7794000451285;37794000451286;Mayonesa Hellmanns Ligth x 250cc (8);3.25;92;N;1;8;0
7790590000445;;Fosforos Tres Patitos x 222u;1.49;792;N;1;200;0
7798006350405;;Bolon Junior Sabor Chicle x 300g;6.01;203;N;1;18;0
1133;17794000412016;Mayonesa Fanacoa 196 x 8 gr;20.68;0;N;1;1;0
7791290785502;;Pan Ala Regular 2u x 200gr;3.99;339;N;1;42;0
7794000956735;17794000956732;Mayonesa Wilde 3u x 2900;14.95;188;N;1;3;0
1139;;Polvo Limpiador Odex biclorin12u x 500g;2.44;0;N;1;12;0
1140;;Azucar Sobre 800 x 0,8 grs;21.2;0;N;1;1;0
7790036020235;;Edulcorante SI-DIET 500 (6);5.99;450;N;1;6;0
1145;;Pitusas Rosquitas de Miel 12 x 400 grs;1.79;0;N;1;12;0
1146;;Protec. Diarios Lips x 20u (30);2.36;0;N;1;30;0
1000007792573;;OBLEA 2X3  x 22 g  (60);12.61;0;N;1;1;0
1000007790819;;Alf Nevares Negro 32 x 45g;17.59;26;N;1;1;0
1000007792562;;Alf Nevares Blanco 32 x 45g;17.59;25;N;1;1;0
7790580634407;;Chicle Bomky Menta radia x 150u;9.8;79;N;1;18;0
1161;;Chicle Bomky Fruta radia x 150u;9.8;151;N;1;18;0
1162;;Bayaspirina C Caliente x 6 sobres;4.99;0;N;1;4;0
1163;;Bayaspirina C Naranja x 6 s.;3.71;0;N;1;4;0
1164;;Tabcin Caliente x 5 s.;5.58;0;N;1;4;0
7791906921317;;Pa�ales Kiddies Basico M 16x10;5.84;81;N;1;16;0
7791906921324;;Pa�ales Kiddies max Gde 16x9;5.84;1;N;1;16;0
7791906921331;;Pa�ales Kiddies max EG 16x8;5.84;106;N;1;16;0
1170;;Pure Cica Pomarola 36x200 grs;2.4;0;N;1;36;0
1171;;Pure Cica Pizza 36x200grs;3.15;0;N;1;36;0
7794000535114;17794000535111;Knorr sopa cr choclo 15 sob;2.4;0;N;1;15;0
7794000513112;17794000513119;Knorr sopa cr arvejas c/jamon 15sob;2.4;0;N;1;15;0
7794000511118;17794000511115;Knorr sopa cr espar 15  sob;2.4;0;N;1;15;0
7794000533110;17794000533117;Knorr sopa cr zapa 15 sob;2.4;0;N;1;15;0
7794000514119;17794000514116;Knorr sopa cr pollo 15sob;2.4;0;N;1;15;0
7794000517110;57794000517115;Knorr sopa cr queso 15 sob;2.4;1;N;1;15;0
7794000532113;27794000532117;Knorr sopa verd 2x8sob;2.58;0;N;1;16;0
7794000519114;17794000519111;Knorr sopa cr verdura (15u);2.4;0;N;1;15;0
5779552200035;;Turronito  x 60 unid.;11.09;49;N;1;1;0
1181;;Huevos Chocolate namur  36 x 22g;1.09;279;N;1;36;0
1184;;Yerba Insignia 10x1/2kg;2.36;235;N;1;10;0
1185;17794000402000;Mayonesa Hellmanns 196x8grs;28.66;0;N;1;1;0
1189;;Miel Casera x 500 grs;4.49;0;N;1;1;0
1194;;Huevos Chocolate namur 30u x 45g;1.59;0;N;1;30;0
1196;;Pitusas Ros.Miel 30x170grs;0.87;0;N;1;30;0
7790380011804;;Flynn Paff Frutilla/ Vainilla 12x70;8.44;114;N;1;12;0
1202;;Flynn Paff Pinta Lengua 12x70;8.44;19;N;1;12;0
7794000502222;27794000502226;Caldos Knorr Gallina 16x10x6cub.;3.32;2974;N;1;160;0
7794000504226;27794000504220;Caldos Knorr Verdura 16x10x6cub.;3.32;3481;N;1;160;0
7790380011750;;Chocolate taza Alteza x 100grs (50);2.43;1319;N;1;50;0
1211;;Knorr Sopa Cr Light verd 2 x 8s.;2.92;0;N;1;16;0
7790129017630;;Pa�uelos descartables 10x10u(24);5.78;292;N;1;24;0
7792665006260;;Arroz Monarca x 1kg (10);2.76;228;N;1;10;0
7791290785052;;Ala colageno Lv Vaj 15u x 750ml;4.03;1180;N;1;15;0
7790450085049;;Mayonesa Fanacoa x 125g (20);1;2;N;1;40;0
1233;;Oregano Bolsa R.M 1x1kgr;26.9;1;N;1;1;0
7793024008765;;Chupetin Wamis Fizzy 12x453g.;4.48;65;N;1;12;0
7790060004270;17790060004277;Mayonesa Fanacoa  x250 cc (12);1.95;894;N;1;12;0
7794000594555;;Caldos Knorr Gallina 1x12cu.;4.98;1200;N;1;80;0
7794000594548;;Caldos Knorr Verdura 1x12cu.;4.98;909;N;1;80;0
7798124942209;;Pegamento Amurito x 1;3.65;11;N;1;1;0
1247;;Talco Aktiol x100g;3.32;0;N;1;24;0
7794000401334;37794000401335;Mayonesa Hellmanns Fsc. x 350grs (6);5.06;29;N;1;6;0
7794000501713;17794000501710;Caldos Knorr carne 80x12;4.98;277;N;1;80;0
7794000501225;27794000501229;Caldos Knorr carne 16x10x6c;3.32;295;N;1;160;0
1260;;Azafran Display x 6u.;9.42;0;N;1;1;0
1263;;Pure de Papa y Zapallo 12x125g;0;0;N;1;12;0
1264;;Tutto Dolce rell. D.L. x 20u;12.1;0;N;1;1;0
1266;;Cafe con cacao 14 x 50gr;1.31;0;N;1;14;0
1272;;Alka-Seltzer x 6 Sobres Antiacido;4.72;0;N;1;64;0
